roi_name,Net7,posR,posA,posS,colR,colG,colB
17Networks_RH_SalVentAttnA_ParOper_2,SalVentAttn,60,-22,22,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_ParOper_3,SalVentAttn,62,-26,38,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_PrC_1,SalVentAttn,52,4,40,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_Ins_1,SalVentAttn,40,6,-16,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_Ins_2,SalVentAttn,40,8,-2,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_Ins_3,SalVentAttn,40,-10,-4,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_Ins_4,SalVentAttn,40,-2,6,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrOper_1,SalVentAttn,38,8,10,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrOper_2,SalVentAttn,48,4,4,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrOper_3,SalVentAttn,54,12,12,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrMed_1,SalVentAttn,8,2,42,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_ParMed_1,SalVentAttn,12,-18,42,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_ParMed_2,SalVentAttn,12,-34,42,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrMed_2,SalVentAttn,6,10,58,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_ParMed_3,SalVentAttn,10,-44,54,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_ParMed_4,SalVentAttn,10,-32,50,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrMed_3,SalVentAttn,6,-2,66,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnA_FrMed_4,SalVentAttn,16,6,70,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_IPL_1,SalVentAttn,62,-38,36,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFClv_1,SalVentAttn,50,40,6,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFCl_1,SalVentAttn,42,46,14,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFCl_2,SalVentAttn,26,54,24,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFCl_3,SalVentAttn,32,44,28,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_Ins_1,SalVentAttn,34,22,-8,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_Ins_2,SalVentAttn,36,22,4,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFCmp_1,SalVentAttn,8,34,24,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_SalVentAttnB_PFCmp_2,SalVentAttn,8,18,36,0.7686274509803922,0.22745098039215686,0.9803921568627451
17Networks_RH_LimbicB_OFC_1,Limbic,14,24,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicB_OFC_2,Limbic,22,22,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicB_OFC_3,Limbic,8,46,-24,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicB_OFC_4,Limbic,20,42,-18,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicB_OFC_5,Limbic,4,22,-20,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicB_OFC_6,Limbic,10,62,-14,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_1,Limbic,28,-2,-40,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_2,Limbic,48,-6,-40,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_3,Limbic,36,18,-38,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_4,Limbic,40,-14,-32,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_5,Limbic,28,12,-30,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_LimbicA_TempPole_6,Limbic,50,-28,-26,0.8627450980392157,0.9725490196078431,0.6431372549019608
17Networks_RH_ContA_IPS_1,Cont,36,-70,46,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_IPS_2,Cont,54,-32,52,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_IPS_3,Cont,46,-44,46,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_IPS_4,Cont,36,-44,44,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCd_1,Cont,24,10,58,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCl_1,Cont,50,30,18,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCl_2,Cont,48,18,24,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCl_3,Cont,48,28,28,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCl_4,Cont,48,8,24,0.9019607843137255,0.5803921568627451,0.13333333333333333
17Networks_RH_ContA_PFCl_5,Cont,38,10,34,0.9019607843137255,0.5803921568627451,0.13333333333333333
